	16/noun	2003/noun	7/noun	9/noun	Belgisch/adj	Brugse/adj	Frans/adj	Genkse/adj	Ier/noun	Ninoofse/adj	Oudenaardse/adj	Sint-Niklase/adj	Spanjaard/noun	Thais/adj	aanpak/noun	aantal/noun	aanvang/noun	aanvankelijk/adj	afgelopen/adj	al/adv	ander/adj	be/noun	beeldhouwer/noun	begrip/noun	behaal/verb	bekom/verb	bewogen/adj	blijkbaar/adj	bovendien/adv	briljant/adj	burgemeester/noun	burgerlijk/adj	campus/noun	carrière/noun	credo/noun	daar/adv	daarentegen/adv	dank/verb	dans/noun	decennium/noun	decor/noun	dienst/noun	diner/noun	donderdag/noun	drager/noun	drie/noun	duidelijkheid/noun	eerder/noun	eerst/adj	eigenaardig/adj	eind/adv	eind_winnaar/noun	elektricien/noun	ere_burger/noun	ere_podium/noun	ere_titel/noun	feest_zaal/noun	filosofie/noun	filosoof/noun	ga_op/verb	gelovig/adj	gemeente/noun	gemeente_bestuur/noun	genodigd/adj	gereformeerd/adj	gesneuveld/adj	gisteravond/adv	gisteren/adv	goed/adj	groente/noun	helder/adj	ideaal/noun	idioot/adj	immers/adv	in/adj	indrukwekkend/adj	ingebruikname/noun	inwoner/noun	inzet/noun	inzicht/noun	jaar/noun	jaarlijks/adj	jong/adj	judoka/noun	junior/noun	kampioen/noun	keer/noun	kennelijk/adj	kommer/noun	kring/noun	laat/verb	lang/adj	laureaat/noun	legislatuur/noun	lid/noun	lijst/noun	loopbaan/noun	loos/adj	louter/adj	maand_blad/noun	maart/noun	mag/verb	medaille/noun	meest/adj	mei/noun	mening/noun	midden_stip/noun	minister/noun	minstens/adv	misvatting/noun	morgenavond/adv	muze/noun	muzikaal/adj	namelijk/adv	nationaal/adj	neem_plaats/verb	nerveus/adj	never/noun	nieuw/adj	numerus/noun	officieel/adj	omroep/noun	ondernemer/noun	onderscheiding/noun	ook/adv	openbaar/noun	opvatting/noun	overtuiging/noun	parool/noun	passend/adj	persoon/noun	persoonlijk/adv	plein/noun	ploeg/noun	ploeg_makker/noun	premier/noun	principe/noun	provincie/noun	reder/noun	reflex/noun	restaurant/noun	rij/noun	samenleving/noun	schepen/noun	schepen_college/noun	seizoen/noun	simplistisch/adj	sociaal-democraat/noun	sport_laureaat/noun	sport_mens/noun	sport_raad/noun	sporter/noun	sporthal/noun	stad/noun	stad_bestuur/noun	stadhuis/noun	stadion/noun	standpunt/noun	stap_af/verb	start/adj	steeds/adv	stelling/noun	sterf_dag/noun	strategie/noun	strijdlustig/adj	succesvol/adj	supporter/noun	tegelijk/adj	tienjarige/adj	titel/noun	top_schutter/noun	totnogtoe/adv	traditie/noun	u/noun	uur/noun	vader/noun	vasten/noun	verdienstelijk/adj	verdrijving/noun	verkoudheid/noun	vier/verb	visie/noun	volg/adj	voortaan/adv	voorzitter/noun	vorig/adj	vrijdag/noun	vrijwilliger/noun	vrijwilliger_werk/noun	waar/adv	waarde/noun	wedstrijd/noun	week/noun	weekend/noun	wereldbeker/noun	wetenschapper/noun	winnaar/noun	winnares/noun	word/verb	yoga/noun
16/noun	0.0	0.8173425	0.53859514	0.52204067	0.83991784	0.8824325	0.86982566	0.94166446	0.92636204	0.923445	0.92706436	0.88508826	0.9160397	0.9319075	0.96306884	0.921619	0.67435306	0.88247865	0.91914964	0.73497605	0.97236323	0.9592599	0.8988234	0.92684996	0.85000086	0.9255477	0.90160954	0.9105327	0.94180524	0.939198	0.8954722	0.91457164	0.9287076	0.8597012	0.96593755	0.9114851	0.93538946	0.9230409	0.8535017	0.9166206	0.89420015	0.8686478	0.9205248	0.57644385	0.95655197	0.91312456	0.93511474	0.95403296	0.7255664	0.9414998	0.7861258	0.9199133	0.92839575	0.9073586	0.9790705	0.9293753	0.79460263	0.9327968	0.90781415	0.8955371	0.9641391	0.89192146	0.89172995	0.92300206	0.9130211	0.91399944	0.8658275	0.82132024	0.969529	0.95421696	0.9538992	0.9311046	0.9640693	0.90795195	0.873706	0.9196683	0.9209959	0.8790864	0.94057375	0.96466005	0.9118737	0.8753779	0.8892159	0.9444194	0.80259186	0.84172636	0.8890651	0.92890525	0.95547324	0.8896899	0.92170745	0.9391161	0.8473395	0.9522578	0.8624246	0.9044738	0.8532939	0.94050765	0.9635563	0.9157527	0.4769237	0.92156434	0.8871641	0.953965	0.46388763	0.93703026	0.9971539	0.96519476	0.9315523	0.97774243	0.8517147	0.92550343	0.8356488	0.88971084	0.8639048	0.9289259	0.94757396	0.97714937	0.9098498	0.9788712	0.7702301	0.9513094	0.93458056	0.8734328	0.95528823	0.93540573	0.9407456	0.9524195	0.91434735	0.95085365	0.9123764	0.92381924	0.8843769	0.9219914	0.9815341	0.93354946	0.9524832	0.87841654	0.9432643	0.93344426	0.8975541	0.89564806	0.94490165	0.91157275	0.905336	0.8843097	0.9819962	0.91226596	0.93737304	0.9908053	0.8890374	0.9432385	0.748924	0.8907194	0.8896949	0.81233233	0.9052045	0.9551561	0.93425363	0.94469845	0.94539535	0.9487296	0.87999475	0.94472647	0.93424165	0.87139106	0.9348943	0.9287061	0.9152952	0.8110006	0.920584	0.9434366	0.8550164	0.8223611	0.6097931	0.8249812	0.9775424	0.9227238	0.9557546	0.9698733	0.78770816	0.9516711	0.8688149	0.8770941	0.8909613	0.89336157	0.5427159	0.8942905	0.9600686	0.8162483	0.9351848	0.846004	0.88886887	0.76918006	0.86664486	0.91331136	0.8087403	0.9071921	0.6512115	0.87935185
2003/noun	0.8173425	0.0	0.7990533	0.81035256	0.73294663	0.89323485	0.8092207	0.9215555	0.90372425	0.9279661	0.9269382	0.91997665	0.89349556	0.9176536	0.9366322	0.6297277	0.8959792	0.82780254	0.6514386	0.8116345	0.9551157	0.95505494	0.9546517	0.9309547	0.6318184	0.9176782	0.95253575	0.8995567	0.81145424	0.9425536	0.92075545	0.8644927	0.8969269	0.8920924	0.9622416	0.89846003	0.7900039	0.90523165	0.9187113	0.9209235	0.923746	0.7846099	0.9171226	0.8016645	0.9213993	0.916416	0.91886514	0.87071073	0.8896181	0.96540284	0.70325685	0.9280814	0.94891465	0.94256616	0.9647196	0.9352847	0.90677696	0.9599711	0.96331024	0.8836441	0.91898495	0.7199641	0.8511381	0.8628919	0.9586707	0.9044815	0.8625539	0.838178	0.9116731	0.93565637	0.95955205	0.9683476	0.97077334	0.8422497	0.90383875	0.85119534	0.9166294	0.572555	0.9021075	0.9679986	0.50915635	0.53538394	0.8907374	0.95603955	0.874102	0.8651632	0.81819785	0.93429965	0.98278093	0.9366501	0.9200513	0.77197343	0.8643196	0.88535255	0.6977253	0.79450506	0.90766954	0.9655073	0.96807414	0.92299545	0.64069986	0.86797976	0.86794436	0.89372987	0.6913386	0.88768387	0.97929716	0.9663863	0.6303608	0.9770957	0.9049024	0.9753484	0.92428005	0.85907704	0.83448994	0.9281773	0.9631567	0.9875862	0.8088807	0.9602465	0.74480164	0.88097745	0.8654362	0.8840602	0.9196345	0.9464509	0.9688999	0.9553491	0.9150137	0.9608875	0.6197165	0.9460262	0.937005	0.9047159	0.97696793	0.93964076	0.9133636	0.7542323	0.9516986	0.9339198	0.8768414	0.88612986	0.9304617	0.92077446	0.8893041	0.8773148	0.9840086	0.93654686	0.91450286	0.9786266	0.9107634	0.8545875	0.8887948	0.82324064	0.83974063	0.89320475	0.8322259	0.93618315	0.9525638	0.9192484	0.9214213	0.9397901	0.8933915	0.91824025	0.9738453	0.89656806	0.8338075	0.88146675	0.9083646	0.8460543	0.93978524	0.8307873	0.9337727	0.85485226	0.82546926	0.9127253	0.9869038	0.93839914	0.942515	0.9926103	0.8292229	0.94505644	0.6938219	0.83039004	0.8928459	0.48337346	0.78538	0.79506284	0.9306237	0.88005084	0.61511576	0.8465147	0.84027076	0.83298147	0.8784246	0.91124886	0.78100276	0.9168896	0.8663305	0.96369296
7/noun	0.53859514	0.7990533	0.0	0.4275174	0.88673955	0.89396864	0.8886565	0.9512703	0.91748136	0.9272671	0.9351626	0.9258585	0.90940017	0.95195395	0.94920075	0.9116218	0.70750797	0.88334304	0.9038118	0.77120614	0.9567659	0.9522042	0.913456	0.9452696	0.82707226	0.9209007	0.9084624	0.9021099	0.93556666	0.92844903	0.8838182	0.89528644	0.91034204	0.8643291	0.97414833	0.8918316	0.9162463	0.909482	0.8495688	0.9189372	0.9024332	0.88417006	0.89258265	0.6415558	0.96896523	0.9165181	0.9427488	0.93808734	0.754153	0.9496219	0.8135134	0.89531296	0.94535583	0.9080603	0.9595433	0.9397734	0.81912273	0.93623865	0.90052205	0.9057429	0.9497601	0.86786896	0.9051354	0.9209963	0.91869897	0.92070264	0.86084914	0.8522515	0.96733373	0.95246124	0.94102323	0.952409	0.980447	0.90553886	0.8639334	0.9000832	0.94065887	0.86359453	0.92880535	0.94464916	0.8984567	0.870021	0.9007321	0.961548	0.80524147	0.8176058	0.8854764	0.92508495	0.9676243	0.89894	0.9296023	0.93275476	0.8665778	0.96262455	0.8820718	0.8868408	0.86888593	0.96296036	0.9550252	0.9313138	0.5386499	0.9087783	0.9070253	0.932685	0.51213	0.941118	0.97733235	0.96643937	0.9126581	0.97737855	0.8492716	0.92921644	0.8623215	0.89584804	0.8606848	0.9188278	0.93546414	0.9742135	0.90231043	0.98503804	0.7977225	0.9429425	0.93304384	0.86331093	0.95361966	0.96172917	0.9424455	0.942546	0.91095346	0.936958	0.89834297	0.9323272	0.89750105	0.90122664	0.97824585	0.9405847	0.91544807	0.8863764	0.9575238	0.9173332	0.8722366	0.8674145	0.94838136	0.9081402	0.9010924	0.87959635	0.9833301	0.9271048	0.93040204	0.9915905	0.9017452	0.94856143	0.79122317	0.9008115	0.9184656	0.8217983	0.8969888	0.94631356	0.9400675	0.93595946	0.9541896	0.9211788	0.863485	0.9524598	0.94392526	0.88809127	0.9240466	0.9256243	0.9269568	0.8131144	0.8994904	0.9461338	0.8860763	0.7889838	0.6749629	0.8539684	0.97419405	0.92274284	0.95216775	0.96918046	0.7761746	0.94955987	0.8722575	0.8943683	0.88569313	0.8677112	0.62171566	0.8991233	0.96061784	0.8313697	0.9393741	0.8397119	0.90435904	0.803866	0.8528663	0.9088848	0.803548	0.9007187	0.69121766	0.9124457
9/noun	0.52204067	0.81035256	0.4275174	0.0	0.85778856	0.87821364	0.8923527	0.9166527	0.9180598	0.92366016	0.92370665	0.90712464	0.93066573	0.95524925	0.945868	0.92204666	0.6937654	0.8921062	0.9255065	0.75401497	0.9524992	0.9502856	0.8997086	0.92264456	0.83036697	0.93489635	0.89578795	0.92540586	0.9449858	0.9240811	0.8792395	0.8939606	0.9303098	0.8693652	0.9717767	0.89143467	0.9365063	0.9348733	0.8761073	0.9003499	0.8973255	0.8796377	0.88836986	0.6256818	0.9511327	0.92219573	0.9332158	0.9432941	0.74579656	0.9379901	0.7936134	0.91440105	0.9392297	0.89877987	0.97991514	0.9201866	0.7775178	0.94353825	0.92087835	0.9032698	0.96412253	0.86528045	0.8748529	0.9275646	0.9014952	0.90090823	0.8628583	0.82453614	0.98965365	0.95631534	0.94934654	0.9232077	0.9799589	0.9026928	0.88065684	0.9163738	0.9294533	0.8685317	0.930651	0.95032376	0.9184426	0.87124187	0.8969354	0.9417858	0.8022994	0.83964926	0.8699991	0.93627745	0.96745896	0.8922536	0.9479288	0.93113613	0.864612	0.9354318	0.8610764	0.8968165	0.8643241	0.9639165	0.933075	0.9079685	0.53239465	0.9202396	0.88923085	0.95418036	0.47664016	0.9505344	0.9967578	0.9574793	0.9050076	0.9456116	0.8522872	0.92689425	0.86932695	0.8942277	0.8711361	0.9316201	0.93592554	0.97621644	0.90631306	0.97910887	0.8043355	0.92501837	0.9391435	0.8824176	0.9672671	0.9543904	0.9446646	0.94993824	0.90374434	0.9474138	0.9004716	0.92216873	0.91558677	0.9071922	0.97502714	0.9259008	0.9272275	0.8851443	0.9521219	0.9249443	0.88079226	0.85983753	0.9720066	0.9292302	0.90391433	0.88505024	0.97925097	0.9162862	0.928978	0.9930365	0.89819455	0.9450744	0.7745534	0.903152	0.90356255	0.8213289	0.8928168	0.9541614	0.94110465	0.9546548	0.9529957	0.93655014	0.8661687	0.9742754	0.9460554	0.8840567	0.9188244	0.92042875	0.9038039	0.79385835	0.909525	0.9470797	0.8872612	0.799755	0.65495664	0.8412133	0.95624334	0.89202625	0.96214086	0.982515	0.75798976	0.9693455	0.8858055	0.8966781	0.87550294	0.8940383	0.6034061	0.8917296	0.9580061	0.83249414	0.9417296	0.8411908	0.9106309	0.78066015	0.85971344	0.9224198	0.7877143	0.923997	0.6800909	0.91283995
Belgisch/adj	0.83991784	0.73294663	0.88673955	0.85778856	0.0	0.8744612	0.7547283	0.91043836	0.93482697	0.96320873	0.9271283	0.93466926	0.9065269	0.93063515	0.8885341	0.7789778	0.9334139	0.8364111	0.7891943	0.7755612	0.92488873	0.9596619	0.93876064	0.88880026	0.7636038	0.8907642	0.9370178	0.8381514	0.7915108	0.9455862	0.87314665	0.8597578	0.9464476	0.8404224	0.940052	0.8694093	0.8485069	0.8765273	0.9083745	0.90665203	0.92348135	0.8150128	0.9536424	0.8329677	0.9491979	0.90021735	0.88876474	0.9440942	0.84110606	0.9675447	0.7068683	0.92252	0.9586032	0.9310628	0.9672853	0.9427579	0.94900376	0.9420326	0.9282143	0.85376805	0.9527426	0.81302965	0.85436535	0.9158779	0.96491116	0.94233036	0.8493027	0.7466308	0.86847067	0.94374084	0.9384441	0.9532319	0.9922455	0.7998184	0.85625553	0.8654586	0.9558013	0.7497455	0.8855988	0.96129125	0.7745174	0.7315048	0.84097344	0.9007398	0.8236216	0.7507519	0.83402324	0.94653934	0.98672616	0.9243414	0.8459482	0.8641541	0.8701693	0.94863224	0.75585204	0.8385732	0.91077375	0.9519915	0.92228603	0.9546947	0.7882448	0.82541543	0.7901152	0.89305943	0.82666546	0.8900046	0.99540013	0.9246079	0.7730319	0.97969866	0.9282449	0.93320674	0.90536404	0.86954063	0.7438581	0.9340927	0.9151892	0.9836391	0.84577924	0.9766707	0.79880965	0.9202819	0.8816364	0.9002657	0.8723226	0.989082	0.96451634	0.9553399	0.9920275	0.9573216	0.78504086	0.92981017	0.9430701	0.86829555	0.95395905	0.9392999	0.89867365	0.81890833	0.95667195	0.9770897	0.86637056	0.8421383	0.93579745	0.88055825	0.91418725	0.8229406	0.99145544	0.9665299	0.94987756	0.9829754	0.9583211	0.9030227	0.8942324	0.8465411	0.857008	0.91832626	0.88326746	0.90075517	0.9440054	0.9282853	0.8834964	0.91784835	0.95136917	0.88497543	0.9572939	0.88179713	0.839836	0.86942875	0.94811225	0.75770056	0.92677915	0.8149894	0.9203616	0.91205674	0.90131485	0.88185894	0.9853063	0.89066917	0.96446556	0.9765286	0.8131604	0.9128356	0.79227436	0.80445343	0.78672504	0.7112106	0.8391086	0.83141387	0.9691231	0.84568155	0.78024966	0.8173362	0.8367751	0.775072	0.9038199	0.93058324	0.80202794	0.89131826	0.8540103	0.98547035
Brugse/adj	0.8824325	0.89323485	0.89396864	0.87821364	0.8744612	0.0	0.89938253	0.85479516	0.9490016	0.9497532	0.9362298	0.89978933	0.92000425	0.9354386	0.9177357	0.9251474	0.93165195	0.87997985	0.9247214	0.8819249	0.9602872	0.97810173	0.9195046	0.9624335	0.8784023	0.9212692	0.9396095	0.9325758	0.9187411	0.94923073	0.91303265	0.9260222	0.91650575	0.9048836	0.9572307	0.9572529	0.9336083	0.9321902	0.9213876	0.9446503	0.8988601	0.9158696	0.9478704	0.90771246	0.9563691	0.9341556	0.95517737	0.95228004	0.87424594	0.9724486	0.87708443	0.9031769	0.920445	0.9036634	0.9714198	0.95753354	0.92605114	0.89592177	0.95955604	0.9542503	0.94049203	0.91509044	0.9219941	0.93988335	0.9582728	0.9694842	0.87605274	0.87023133	0.9480873	0.9738421	0.9425278	0.962331	0.9940981	0.92928505	0.9305278	0.9116641	0.95174104	0.9035462	0.9574674	0.98425376	0.92278355	0.9051254	0.888273	0.94071066	0.904814	0.8728957	0.8789009	0.96434665	0.9818171	0.9310271	0.9432945	0.9539916	0.8640306	0.94802785	0.8725713	0.93109906	0.919284	0.9832197	0.94245553	0.96049327	0.8749057	0.89302367	0.9180859	0.9368554	0.8742171	0.9296793	0.99113905	0.9779378	0.91243696	0.9956166	0.91296345	0.9710132	0.9346321	0.92066634	0.90048605	0.9579862	0.969194	0.98591965	0.9420067	0.98605	0.8906044	0.96975994	0.9167386	0.9277806	0.9499768	0.9723457	0.9466467	0.97170055	0.973684	0.95906335	0.9333931	0.9414048	0.9596313	0.8868461	0.9259176	0.9693857	0.9621883	0.9003154	0.9790059	0.9688927	0.89987636	0.9046922	0.9583807	0.908774	0.9465436	0.8506612	0.9880713	0.9517702	0.97094357	0.9997443	0.91088045	0.95527434	0.9441683	0.933637	0.8952647	0.8950728	0.93271905	0.9584969	0.8995275	0.9521426	0.9555516	0.94932485	0.91697985	0.98605484	0.9651938	0.918271	0.89295936	0.94695896	0.9478879	0.86014104	0.8897744	0.93286115	0.9225053	0.9285543	0.93208075	0.9040472	0.99949926	0.9025356	0.9820537	0.97060513	0.8337859	0.9332385	0.8882501	0.93130267	0.88464946	0.88724685	0.882252	0.9271045	0.9569617	0.9224738	0.9325025	0.8913645	0.8994364	0.8435888	0.93111086	0.95404255	0.88895553	0.9368217	0.8903258	0.9615181
Frans/adj	0.86982566	0.8092207	0.8886565	0.8923527	0.7547283	0.89938253	0.0	0.95944077	0.9505842	0.96485317	0.9681367	0.96181643	0.8716234	0.9420896	0.93210286	0.8596391	0.94174635	0.8577741	0.7585845	0.7788037	0.88387144	0.9650291	0.8736162	0.92846215	0.82591945	0.9379953	0.91023785	0.91451454	0.8600719	0.9349949	0.89944917	0.8974376	0.9709825	0.8514113	0.96772575	0.88124037	0.83506906	0.88658434	0.8820387	0.9040048	0.89694035	0.8523714	0.942236	0.8713595	0.9386593	0.9081426	0.9103476	0.9301702	0.8085848	0.96713614	0.7944615	0.94657797	0.9389797	0.95910347	0.97605693	0.9754274	0.97212017	0.9060281	0.820031	0.8728875	0.9393334	0.8966498	0.94688356	0.9541303	0.9497309	0.9496526	0.84992045	0.77930063	0.91899323	0.9645512	0.91753393	0.9371966	0.9765856	0.83303666	0.8462535	0.86271673	0.979466	0.7941612	0.90816915	0.9238319	0.81558156	0.8133831	0.8270887	0.9747131	0.9376836	0.85808265	0.87421495	0.9061695	0.99078107	0.9258669	0.85427696	0.85934126	0.9286629	0.9570707	0.81736046	0.87739944	0.87786543	0.95950365	0.9348036	0.95685506	0.8162199	0.89054614	0.9298615	0.90473473	0.83625287	0.93267673	0.9898266	0.9001966	0.8404421	0.99173754	0.94681203	0.92547154	0.8936637	0.8727262	0.8362923	0.9300872	0.95350015	0.9906474	0.8628193	0.9866329	0.8244213	0.9229129	0.9007706	0.91119957	0.88289946	0.953684	0.9300925	0.951246	0.99252313	0.9686831	0.86092824	0.94493943	0.9323415	0.8961591	0.9722712	0.8813311	0.90687466	0.88038373	0.9656874	0.94658864	0.86690074	0.9105739	0.9089041	0.943064	0.9768233	0.89349973	0.9848349	0.9538317	0.99543935	0.9878901	0.97790223	0.9274013	0.9663087	0.83542186	0.92110026	0.9349381	0.9073662	0.92139536	0.93540454	0.9720064	0.9172889	0.923106	0.9599049	0.89265186	0.97750145	0.85841936	0.89608514	0.91096544	0.927046	0.8560199	0.9310376	0.8815075	0.8673818	0.93355554	0.9251244	0.8192847	0.9813456	0.95627826	0.96155244	0.9766823	0.87023866	0.8993542	0.85473	0.87307805	0.8537226	0.7400124	0.8657951	0.9017032	0.98239964	0.8115026	0.8122128	0.895076	0.8453995	0.8927787	0.94161475	0.88029957	0.84431976	0.94117606	0.80286074	0.99419796
Genkse/adj	0.94166446	0.9215555	0.9512703	0.9166527	0.91043836	0.85479516	0.95944077	0.0	0.9414332	0.9640186	0.9102979	0.91502976	0.90079397	0.9610255	0.98156947	0.94097656	0.9584126	0.96121794	0.94823337	0.8965602	0.9992274	0.9872019	0.97509533	0.977013	0.9097705	0.9675782	0.9667804	0.9617186	0.9726031	0.9862433	0.94727576	0.96694463	0.9411664	0.9325165	0.99150676	0.9561355	0.94599956	0.9561526	0.9895776	0.97637403	0.9754695	0.92655325	0.92436343	0.93262213	0.9821189	0.9664516	0.95534766	0.95535535	0.9422811	0.9741759	0.90656364	0.9633891	0.9205632	0.94874346	0.9617994	0.9785143	0.9676157	0.96254545	0.98287064	0.9553989	0.97461855	0.94312423	0.95780116	0.8899987	0.9881063	0.9690958	0.878243	0.91639847	0.98504627	0.9812037	0.9876739	0.90865666	0.9762929	0.9585923	0.9702576	0.9530247	0.9684407	0.8776358	0.9734611	0.9944805	0.91582155	0.88742036	0.9573678	0.9375334	0.92802787	0.8968409	0.90305597	0.9730682	0.98962796	0.9680799	0.95302933	0.9626007	0.90388286	0.9603796	0.89662427	0.9348525	0.93214303	0.9863606	0.98786986	0.9835571	0.9465588	0.91367847	0.94727457	0.9920981	0.9205041	0.97909355	0.95943946	0.98547935	0.9077724	0.98913896	0.91356695	0.9929933	0.968054	0.93836826	0.9419023	0.94741005	0.9678423	0.9834118	0.96159273	0.9999201	0.93950975	0.9881199	0.9442201	0.95766354	0.9888367	0.9859093	0.97517467	0.9566275	0.99352664	0.98508906	0.90125954	0.9123049	0.9840009	0.90695804	0.9865261	0.9605663	0.96357304	0.95385957	0.93609446	0.993698	0.95715094	0.94433194	0.9797179	0.9623483	0.9755546	0.87817895	1.0	0.97345704	0.9720425	0.97941905	0.9422643	0.92336833	0.94493705	0.97431064	0.93777907	0.95055676	0.8938818	0.96418214	0.96477515	0.9785261	0.9920066	0.9681085	0.94426787	0.98040926	0.94721836	0.9503517	0.8904778	0.9564799	0.96807235	0.9203725	0.88288665	0.92878234	0.974781	0.961311	0.97093976	0.94776446	0.98926497	0.929245	0.9732066	0.9901043	0.904735	0.9905299	0.908587	0.9311786	0.9456248	0.9090984	0.9410589	0.8991007	0.9583188	0.9536846	0.943405	0.8942338	0.93182516	0.9067383	0.9455634	0.97397184	0.9281552	0.91245556	0.9439781	0.95674425
Ier/noun	0.92636204	0.90372425	0.91748136	0.9180598	0.93482697	0.9490016	0.9505842	0.9414332	0.0	0.96970415	0.9583115	0.94142735	0.8758447	0.9617118	0.9763224	0.94973457	0.9715358	0.93025845	0.9173615	0.9323686	0.9520751	0.9519388	0.94706064	0.9658205	0.8582414	0.95467114	0.9492001	0.96629184	0.9770269	0.9243807	0.9625467	0.95271885	0.9785498	0.89454174	0.9741918	0.96583766	0.932052	0.92782533	0.95648843	0.9350391	0.9729885	0.9604044	0.9733512	0.91686237	0.96395314	0.9136802	0.9880092	0.9551855	0.9170106	0.9671713	0.902958	0.9499453	0.8980197	0.95719093	0.9419157	0.959778	0.9679361	0.9765572	0.942154	0.95900345	0.9541593	0.952537	0.97003543	0.97423685	0.96552575	0.9509923	0.88236845	0.8754169	0.98345166	0.97513956	0.96782553	0.961889	0.9802324	0.9455938	0.96062726	0.9265596	0.9786387	0.87735116	0.95342267	0.97515845	0.8811308	0.9290316	0.9236753	0.92668784	0.8538556	0.8609465	0.9306947	0.9499329	0.97138226	0.9704481	0.9641114	0.9562271	0.9314625	0.96045244	0.92629564	0.9510867	0.89212453	0.938549	0.9589004	0.96400976	0.9091433	0.9672853	0.9060079	0.9630209	0.9163932	0.97508013	0.98852545	0.95211786	0.92569435	0.9894693	0.92153263	0.961141	0.9662915	0.95459807	0.94945997	0.9413269	0.9444947	0.9882308	0.9789601	0.9947786	0.9408852	0.9763813	0.9177784	0.92489815	0.97472304	0.97007036	0.9443779	0.95707136	0.96321714	0.94184446	0.90552926	0.9591662	0.9837433	0.91146517	0.98272246	0.9077768	0.9669956	0.95830446	0.9457626	0.95924115	0.9517046	0.92272574	0.98926806	0.97155684	0.9862032	0.9151246	0.99186945	0.93049645	0.97573316	0.96775115	0.9823583	0.9497708	0.975589	0.95612866	0.9662808	0.9483366	0.9406794	0.975071	0.95668566	0.9669883	0.9819592	0.97736293	0.97867197	0.9623133	0.96569395	0.92033243	0.94801205	0.955011	0.96221054	0.91844654	0.90778553	0.9477622	0.97277176	0.87527764	0.95313144	0.9172826	0.96672523	0.936012	0.96866864	0.97470844	0.93393826	0.9415676	0.9499223	0.9532221	0.9276987	0.88769674	0.9180294	0.9305273	0.96941096	0.9371511	0.9419671	0.8941688	0.9321121	0.9368484	0.8915605	0.92103773	0.9016445	0.9247694	0.9190813	0.99485314
Ninoofse/adj	0.923445	0.9279661	0.9272671	0.92366016	0.96320873	0.9497532	0.96485317	0.9640186	0.96970415	0.0	0.8821773	0.86234075	0.98148483	0.9585134	0.9967217	0.98305786	0.95397556	0.98389286	0.9825085	0.96504104	0.99888945	0.97507894	0.95617896	0.9912994	0.9628599	0.94102156	0.96472245	0.9551204	0.99559164	0.981633	0.92239165	0.98153305	0.925865	0.95308304	0.9309514	0.9838337	0.979987	0.96871084	0.9854763	0.9971989	0.97853744	0.98249584	0.9853959	0.9273002	0.98951256	0.98004365	0.9877409	0.97552806	0.9593988	0.9725463	0.9561677	0.940145	0.9514415	0.95453453	0.9819074	0.9720294	0.878917	0.9638008	0.9626641	0.970723	0.995782	0.96912783	0.958407	0.9670586	0.96205103	0.9829712	0.97770756	0.9573302	0.9853902	0.9796578	0.99790514	0.98198885	0.9788048	0.97113156	0.98033744	0.97226256	0.936598	0.9630596	0.9826796	0.98633724	0.9535991	0.9562233	0.9571498	0.9593902	0.94232947	0.93073744	0.95535386	0.9799049	0.9871276	0.9883038	0.97011	0.9897095	0.9127207	0.97606677	0.95321095	0.9593001	0.97016424	0.94940543	0.988784	0.9683111	0.90187895	0.9599569	0.9729317	0.99694544	0.89947414	0.9909203	0.99611413	0.96096253	0.9742229	0.96245044	0.95179945	0.9632099	0.95506626	0.9824695	0.9572094	0.9774012	0.9680733	0.9957435	0.96905744	1.0	0.92678154	0.9945354	0.97588104	0.9590199	0.9950181	0.9990777	0.9878357	0.9753495	0.94231874	0.98303246	0.97753507	0.9785061	0.9877363	0.9596474	0.99096966	0.9800004	0.9730476	0.96069884	0.97563463	0.9525967	0.97229797	0.951317	1.0	0.89885074	0.91465515	0.92833024	0.9850994	0.9671255	0.88671553	0.9966188	0.91427714	0.9794348	0.93003327	0.98701733	0.9206982	0.9298728	0.9644149	0.95938873	0.97184557	0.9830175	0.99920374	0.9590466	0.9700532	0.99579984	0.9904263	0.979384	0.9521819	0.99549747	0.9824318	0.92876345	0.93165857	0.97416717	0.9803148	0.95635796	0.9255146	0.94514716	0.9986562	0.94558394	0.9807298	0.9591549	0.8927304	0.9641511	0.9680796	0.9647546	0.9195466	0.9643283	0.9301479	0.96764183	0.9909228	0.9752871	0.985662	0.9583902	0.96282166	0.92327565	0.96730405	0.99523747	0.9206063	0.9579442	0.93522	0.9861224
